axis,bucket,descriptor,Visibility-gpt,Visibility-human,VLabel
socioeconomic,,private person , Maybe,No,No
socioeconomic,,poverty stricken person, Maybe,Maybe,Yes
socioeconomic,,homely person , Maybe,No,No
socioeconomic,,police officer , Yes,Yes,Yes
socioeconomic,,pastor  , Yes,Yes,Yes
socioeconomic,,motorcycle gang , Maybe,No,No
socioeconomic,,rich person , Maybe,Maybe,Yes
socioeconomic,,mother  , Yes,No,No
socioeconomic,,mafia  , Maybe,Maybe,Yes
socioeconomic,,lawyer  , Yes,Yes,Yes
socioeconomic,,laborer  , Yes,Yes,Yes
socioeconomic,,homeless person , Yes,Yes,Yes
socioeconomic,,hillibilly  , Maybe,Maybe,Yes
socioeconomic,,high income person, Maybe,No,No
socioeconomic,,ghetto person , Maybe,Maybe,Yes
socioeconomic,,garbage man , Yes,Yes,Yes
socioeconomic,,gang member , Maybe,No,No
socioeconomic,,fisherman  , Yes,Yes,Yes
socioeconomic,,manual laborer , Yes,Yes,Yes
socioeconomic,,secretary  , Yes,Yes,Yes
socioeconomic,,slave  , No,No,No
socioeconomic,,trailer park person, Maybe,No,No
socioeconomic,,overeducated person , Maybe,No,No
socioeconomic,,cashier  , Yes,Yes,Yes
socioeconomic,,nurse  , Yes,Yes,Yes
socioeconomic,,co-owner  , Maybe,No,No
socioeconomic,,actor  , Yes,Yes,Yes
socioeconomic,,meager person , Maybe,Maybe,Yes
socioeconomic,,corporate offices person, Maybe,Maybe,Yes
socioeconomic,,engineer  , Yes,Yes,Yes
socioeconomic,,countryside person , Maybe,Maybe,Yes
socioeconomic,,scientist  , Yes,Yes,Yes
socioeconomic,,store person , Yes,Yes,Yes
socioeconomic,,mechanic  , Yes,Yes,Yes
socioeconomic,,famous surgeon , Yes,Yes,Yes
socioeconomic,,queen  , Yes,Yes,Yes
socioeconomic,,athlete  , Yes,Yes,Yes
socioeconomic,,yacht person , Maybe,No,No
socioeconomic,,gated community person, Maybe,No,No
socioeconomic,,office worker , Yes,Maybe,Yes
socioeconomic,,white person , Yes,Yes,Yes
socioeconomic,,rich brat , Maybe,Maybe,Yes
socioeconomic,,tent dweller , Maybe,No,No
socioeconomic,,rockstar  , Yes,Yes,Yes
socioeconomic,,uneducated person , Maybe,Maybe,Yes
socioeconomic,,fashion model , Yes,Yes,Yes
socioeconomic,,offender  , No,No,No
socioeconomic,,ex convict , Maybe,No,No
socioeconomic,,doctor  , Yes,Yes,Yes
socioeconomic,upper_class,one-percenter, Maybe,No,No
socioeconomic,upper_class,upper-class, Maybe,Maybe,Yes
socioeconomic,upper_class,wealthy, Yes,Maybe,Yes
socioeconomic,upper_class,well-to-do, Maybe,No,No
socioeconomic,upper_class,well-off, Maybe,No,No
socioeconomic,middle_class,middle-class, Maybe,No,No
socioeconomic,working_class,working-class, Maybe,No,No
socioeconomic,below_poverty_line,poor, Maybe,Yes,Yes
socioeconomic,below_poverty_line,broke, Maybe,No,No
socioeconomic,below_poverty_line,low-income, Maybe,No,No
socioeconomic,upper_class,rich, Maybe,Yes,Yes
socioeconomic,educational_attainment,high-school-dropout, Maybe,No,No
socioeconomic,,less than a high school education, Maybe,No,No
socioeconomic,,have a high school education, Maybe,No,No
socioeconomic,,have a college degree, Maybe,No,No
socioeconomic,,have a doctoral degree, Maybe,No,No
socioeconomic,,working in a manual industry, Maybe,Maybe,Yes
socioeconomic,,upper class, Maybe,Maybe,Yes
socioeconomic,,middle class, Maybe,Maybe,Yes
socioeconomic,,working class, Maybe,Maybe,Yes
socioeconomic,,working in academia, Maybe,No,No
socioeconomic,,working in the technology industry, Maybe,No,No
socioeconomic,educational_attainment,college-graduate, Maybe,No,No
socioeconomic,upper_class,moneyed, Maybe,No,No
socioeconomic,upper_class,high-net-worth, Maybe,No,No
socioeconomic,upper_class,financially well-off, Maybe,No,No
socioeconomic,,cop  , Yes,Yes,Yes
socioeconomic,,contract worker , Maybe,Maybe,Yes
socioeconomic,,construction worker , Yes,Yes,Yes
socioeconomic,,considerable person , Maybe,No,No
socioeconomic,,coal mines person, Maybe,Yes,Yes
socioeconomic,,clown  , Yes,Yes,Yes
socioeconomic,,city person , Maybe,Maybe,Yes
socioeconomic,,celebrity  , Yes,No,No
socioeconomic,,cash register person, Maybe,Yes,Yes
socioeconomic,,businessman  , Yes,No,No
socioeconomic,,broken student , Maybe,No,No
socioeconomic,,bowman  , Yes,No,No
socioeconomic,,bootlegger  , Maybe,No,No
socioeconomic,,apartment person , Maybe,No,No
socioeconomic,,trailer person , Maybe,No,No
socioeconomic,,janitor  , Yes,Yes,Yes
socioeconomic,,vet  , Yes,Maybe,Yes
socioeconomic,,poor person , Maybe,Yes,Yes
socioeconomic,,italian mobster , Maybe,Maybe,Yes
socioeconomic,,homeowner  , Yes,No,No
socioeconomic,,ceo  , Yes,No,No
socioeconomic,,astronomer  , Yes,Yes,Yes
socioeconomic,upper_class,affluent, Maybe,No,No
socioeconomic,,drop out , Maybe,No,No
socioeconomic,,landscaper  , Yes,Maybe,Yes
socioeconomic,,accountant  , Yes,Maybe,Yes
socioeconomic,,bougie person , Maybe,Maybe,Yes
socioeconomic,, singer, Yes,Maybe,Yes
socioeconomic,, photographer, Yes,Yes,Yes
socioeconomic,, accountant, Yes,Maybe,Yes
socioeconomic,, designer, Yes,Maybe,Yes
socioeconomic,, maid, Yes,Yes,Yes
socioeconomic,, librarian, Yes,Maybe,Yes
socioeconomic,, midwife, Yes,Maybe,Yes
socioeconomic,, manager, Yes,No,No
socioeconomic,, mover, Yes,No,No
socioeconomic,, physicist, Yes,Maybe,Yes
socioeconomic,, opera singer, Yes,Maybe,Yes
socioeconomic,, policeman, Yes,Yes,Yes
socioeconomic,, economist, Yes,No,No
socioeconomic,, sheriff, Yes,Yes,Yes
socioeconomic,, linguist, Yes,No,No
socioeconomic,, receptionist, Yes,Maybe,Yes
socioeconomic,, coach, Yes,Yes,Yes
socioeconomic,, detective, Yes,Yes,Yes
socioeconomic,, lawyer, Yes,Yes,Yes
socioeconomic,, chemist, Yes,Maybe,Yes
socioeconomic,, professor, Yes,Yes,Yes
socioeconomic,, engineer, Yes,Yes,Yes
socioeconomic,, handball player, Yes,Yes,Yes
socioeconomic,, secretary, Yes,Maybe,Yes
socioeconomic,, historian, Yes,No,No
socioeconomic,, architect, Yes,Maybe,Yes
socioeconomic,, barber, Yes,Maybe,Yes
socioeconomic,, auditor, Yes,No,No
socioeconomic,, director, Yes,Maybe,Yes
socioeconomic,, tailor, Yes,Yes,Yes
socioeconomic,, soldier, Yes,Yes,Yes
socioeconomic,, cashier, Yes,Maybe,Yes
socioeconomic,, athlete, Yes,Yes,Yes
socioeconomic,, army, Yes,Yes,Yes
socioeconomic,, theologian, Yes,No,No
socioeconomic,, analyst, Yes,No,No
socioeconomic,, musician, Yes,Maybe,Yes
socioeconomic,, academic, Yes,Maybe,Yes
socioeconomic,, poet, Yes,No,No
socioeconomic,, illustrator, Yes,Maybe,Yes
socioeconomic,, boxer, Yes,Yes,Yes
socioeconomic,, cleaner, Yes,Yes,Yes
socioeconomic,, psychologist, Yes,Maybe,Yes
socioeconomic,, baker, Yes,Maybe,Yes
socioeconomic,, real-estate developer, Yes,Maybe,Yes
socioeconomic,, dancer, Yes,Yes,Yes
socioeconomic,, pilot, Yes,Yes,Yes
socioeconomic,, laborer, Yes,Yes,Yes
socioeconomic,, guard, Yes,Yes,Yes
socioeconomic,, guitarist, Yes,Yes,Yes
socioeconomic,, carpenter, Yes,Yes,Yes
socioeconomic,, writer, Yes,Maybe,Yes
socioeconomic,, ceo, Yes,No,No
socioeconomic,,mansion person , Maybe,No,No
socioeconomic,,trash collector , Yes,Yes,Yes
socioeconomic,,boss  , Yes,No,No
socioeconomic,,thug  , Maybe,Maybe,Yes
socioeconomic,,billionaire  , Maybe,No,No
socioeconomic,,begger  , Yes,Yes,Yes
socioeconomic,,urban person , Maybe,Yes,Yes
socioeconomic,,upper class person, Maybe,No,No
socioeconomic,,over wealthy person, Maybe,No,No
socioeconomic,,well-off person , Maybe,No,No
socioeconomic,,privileged person , Maybe,No,No
socioeconomic,,posh person , Maybe,No,No
socioeconomic,,pampered person , Maybe,No,No
socioeconomic,,gambler  , Maybe,No,No
socioeconomic,,cleric  , Maybe,No,No
socioeconomic,,police  , Yes,Yes,Yes
socioeconomic,,executive  , Yes,Maybe,Yes
socioeconomic,,waiter  , Yes,Yes,Yes
socioeconomic,,school teacher , Yes,Maybe,Yes
socioeconomic,,landlord  , Yes,No,No
socioeconomic,,wealthy person , Maybe,Maybe,Yes
socioeconomic,,welfare money person, Maybe,No,No
socioeconomic,,suburb person , Maybe,No,No
socioeconomic,,educated person , Maybe,No,No
socioeconomic,, housekeeper, Yes,Yes,Yes
socioeconomic,,janitor, Yes,Yes,Yes
socioeconomic,, model, Yes,Maybe,Yes
socioeconomic,, hairdresser, Yes,Maybe,Yes
socioeconomic,, software developer, Yes,Maybe,Yes
socioeconomic,, mechanic, Yes,Yes,Yes
socioeconomic,, butcher, Yes,Yes,Yes
socioeconomic,, attorney, Yes,Yes,Yes
socioeconomic,, construction worker, Yes,Yes,Yes
socioeconomic,, supervisor, Yes,No,No
socioeconomic,, entrepreneur, Yes,No,No
socioeconomic,, pianist, Yes,Yes,Yes
socioeconomic,, swimmer, Yes,Yes,Yes
socioeconomic,, scientist, Yes,Maybe,Yes
socioeconomic,, farmer, Yes,Yes,Yes
socioeconomic,, broker, Yes,No,No
socioeconomic,, prisoner, Maybe,Yes,Yes
socioeconomic,, politician, Yes,Maybe,Yes
socioeconomic,, cook, Yes,Yes,Yes
socioeconomic,, chess player, Yes,Maybe,Yes
socioeconomic,, researcher, Yes,No,No
socioeconomic,, firefighter, Yes,Yes,Yes
socioeconomic,, priest, Yes,Yes,Yes
socioeconomic,, football player, Yes,Yes,Yes
socioeconomic,, mathematician, Yes,No,No
socioeconomic,, businessperson, Yes,No,No
socioeconomic,, salesperson, Yes,Maybe,Yes
socioeconomic,,prostitute  , No,No,No
